product_id,item_index
1001588,0
1002042,1
1002062,2
1002098,3
1002099,4
1002100,5
1002101,6
1002102,7
1002225,8
1002367,9
1002396,10
1002398,11
1002482,12
1002484,13
1002494,14
1002522,15
1002524,16
1002525,17
1002527,18
1002528,19
1002531,20
1002532,21
1002533,22
1002535,23
1002536,24
1002538,25
1002539,26
1002540,27
1002541,28
1002542,29
1002544,30
1002545,31
1002546,32
1002547,33
1002548,34
1002549,35
1002550,36
1002628,37
1002629,38
1002633,39
1002634,40
1002662,41
1002666,42
1002678,43
1002757,44
1002786,45
1002808,46
1002827,47
1002828,48
1002845,49
1002870,50
1002876,51
1002881,52
1002904,53
1002906,54
1002923,55
1002929,56
1002974,57
1002987,58
1002995,59
1003013,60
1003023,61
1003039,62
1003048,63
1003050,64
1003052,65
1003064,66
1003073,67
1003074,68
1003096,69
1003102,70
1003105,71
1003112,72
1003114,73
1003141,74
1003142,75
1003153,76
1003158,77
1003159,78
1003168,79
1003169,80
1003176,81
1003177,82
1003181,83
1003183,84
1003184,85
1003195,86
1003203,87
1003208,88
1003209,89
1003210,90
1003218,91
1003221,92
1003222,93
1003225,94
1003230,95
1003233,96
1003234,97
1003235,98
1003237,99
1003281,100
1003285,101
1003293,102
1003298,103
1003304,104
1003305,105
1003306,106
1003307,107
1003308,108
1003309,109
1003310,110
1003311,111
1003312,112
1003313,113
1003314,114
1003315,115
1003316,116
1003317,117
1003318,118
1003319,119
1003328,120
1003338,121
1003339,122
1003347,123
1003352,124
1003363,125
1003371,126
1003372,127
1003374,128
1003385,129
1003391,130
1003398,131
1003408,132
1003415,133
1003416,134
1003418,135
1003425,136
1003428,137
1003437,138
1003438,139
1003439,140
1003441,141
1003447,142
1003456,143
1003461,144
1003475,145
1003484,146
1003487,147
1003489,148
1003493,149
1003499,150
1003503,151
1003509,152
1003511,153
1003520,154
1003523,155
1003524,156
1003525,157
1003527,158
1003530,159
1003532,160
1003533,161
1003534,162
1003535,163
1003537,164
1003546,165
1003547,166
1003548,167
1003549,168
1003551,169
1003566,170
1003570,171
1003571,172
1003572,173
1003583,174
1003592,175
1003598,176
1003599,177
1003608,178
1003609,179
1003610,180
1003611,181
1003612,182
1003613,183
1003614,184
1003615,185
1003617,186
1003622,187
1003636,188
1003645,189
1003652,190
1003656,191
1003657,192
1003665,193
1003687,194
1003689,195
1003705,196
1003706,197
1003707,198
1003709,199
1003710,200
1003711,201
1003712,202
1003713,203
1003714,204
1003715,205
1003716,206
1003718,207
1003726,208
1003734,209
1003738,210
1003746,211
1003747,212
1003750,213
1003751,214
1003752,215
1003756,216
1003760,217
1003762,218
1003765,219
1003767,220
1003768,221
1003769,222
1003770,223
1003771,224
1003772,225
1003774,226
1003777,227
1003778,228
1003779,229
1003782,230
1003786,231
1003793,232
1003794,233
1003798,234
1003800,235
1003801,236
1003802,237
1003803,238
1003807,239
1003811,240
1003815,241
1003821,242
1003834,243
1003848,244
1003852,245
